Time;LD-S;LD-W;PV-S;PV-W;CHP-S;CHP-W;BAT-S;BAT-W;EV
20:30:00;0.6732;0.6908;-122.4;0;-4.5;-9;0;0;0
20:45:00;0.6612;0.6556;-81.6;0;-4.5;-9;0;0;0
21:00:00;0.6492;0.6224;-40.8;0;-4.5;-9;0;0;0
21:15:00;0.6404;0.5956;0;0;-4.5;-9;0;0;0
21:30:00;0.6336;0.5736;0;0;-4.5;-9;0;0;0
21:45:00;0.6272;0.5536;0;0;-4.5;-9;0;0;0
22:00:00;0.6192;0.5328;0;0;-4.5;-9;0;0;0
22:15:00;0.6076;0.5088;0;0;-4.5;-9;0;0;0
22:30:00;0.5916;0.482;0;0;-4.5;-9;0;0;0
22:45:00;0.57;0.4532;0;0;-4.5;-9;0;0;0
23:00:00;0.5428;0.4228;0;0;-4.5;-9;0;0;3
23:15:00;0.5088;0.392;0;0;-4.5;-9;0;0;3
23:30:00;0.47;0.3608;0;0;-4.5;-9;0;0;3
23:45:00;0.4284;0.33;0;0;-4.5;-9;0;0;3
